https://etherscan.io/address/0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08#analytics,['from', '771', 'days', '14', 'hrs', 'ago'],['from', '2102', 'days', '14', 'hrs', 'ago'],1244.96,29.63417489646391,20568.22
https://etherscan.io/address/0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08#analytics,['from', '771', 'days', '14', 'hrs', 'ago'],['from', '2102', 'days', '14', 'hrs', 'ago'],1244.96,29.63417489646391,20568.22
https://etherscan.io/address/0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08#analytics,['from', '771', 'days', '14', 'hrs', 'ago'],['from', '2102', 'days', '14', 'hrs', 'ago'],1244.96,29.63417489646391,20568.22
https://etherscan.io/address/0xc9ccd0d6311f2fe7c1d8d4c28396c700f47ce452#analytics,['from', '12', 'hrs', '55', 'mins', 'ago'],['from', '2146', 'days', '12', 'hrs', 'ago'],1.00,11.287148383194342,22209.38
https://etherscan.io/address/0x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6#analytics,['from', '10', 'hrs', '4', 'mins', 'ago'],['from', '1949', 'days', '6', 'hrs', 'ago'],67.59,286.2675142530325,297126.84
https://etherscan.io/address/0xebd8786cc2d92eb5cbe96299d2d9e6e4dc936fe4#analytics,['from', '1109', 'days', '15', 'hrs', 'ago'],['from', '1209', 'days', '8', 'hrs', 'ago'],0.00,2.3474910864500624,814.13
https://etherscan.io/address/0xbf168a9b110379fc8e5daa42e334a97159232e37#analytics,['from', '90', 'days', '18', 'hrs', 'ago'],['from', '1290', 'days', '5', 'hrs', 'ago'],5254.57,32.10551382232939,105547
https://etherscan.io/address/0xfa31a00a87c766579f0790be73c3763b3e952e94#analytics,['from', '1063', 'days', '4', 'hrs', 'ago'],['from', '1226', 'days', '3', 'hrs', 'ago'],1229719.92,2.0315421254991457,644.95
https://etherscan.io/address/0x6a8eeee36ceb102acc06e850b01d168ba7acad7a#analytics,['from', '1', 'day', '3', 'hrs', 'ago'],['from', '2127', 'days', '4', 'hrs', 'ago'],10179020.38,9.699804561037467,24126.82
https://etherscan.io/address/0xed933b393bcd6f138b3843f5bcd50e3ab6e673f8#analytics,['from', '13', 'hrs', '8', 'mins', 'ago'],['from', '2159', 'days', '7', 'hrs', 'ago'],94082.46,80.01573413446478,134306.85
https://etherscan.io/address/0x64d33dd8cf24c3569252a27c1b782e15b77af628#analytics,['from', '244', 'days', '12', 'hrs', 'ago'],['from', '1245', 'days', '3', 'hrs', 'ago'],38.41,9.943044359646375,6969.78
https://etherscan.io/address/0xdfa1d82cad63732a6fd76f13315206c21e2e3a21#analytics,['from', '7', 'days', '10', 'hrs', 'ago'],['from', '2227', 'days', '5', 'hrs', 'ago'],109.72,25.06899939411068,21082.53
https://etherscan.io/address/0x5b85988f0032ee818f911ec969dd9c649caa0a14#analytics,['from', '4', 'days', '16', 'hrs', 'ago'],['from', '2336', 'days', '10', 'hrs', 'ago'],39856.59,401.19184372717586,141957.72
