address,url,numdayshrs (lastTXN),dayshrs (lastTXN),numdayshrs (firstTXN),dayshrs (firstTXN),current_eth_portfolio,dropdownMenuBalance,ethATH,usdATH
0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08,https://etherscan.io/address/0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08#analytics,777,days,2108,days,5,1291.54,29.63417489646391,20568.22
0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08,https://etherscan.io/address/0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08#analytics,777,days,2108,days,5,1291.54,29.63417489646391,20568.22
0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08,https://etherscan.io/address/0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08#analytics,777,days,2108,days,5,1291.54,29.63417489646391,20568.22
0xc9ccd0d6311f2fe7c1d8d4c28396c700f47ce452,https://etherscan.io/address/0xc9ccd0d6311f2fe7c1d8d4c28396c700f47ce452#analytics,6,days,2152,days,0,1.02,11.287148383194342,22209.38
0x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6,https://etherscan.io/address/0x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6#analytics,6,days,1955,days,0,74.05,286.2675142530325,297126.84
0xebd8786cc2d92eb5cbe96299d2d9e6e4dc936fe4,https://etherscan.io/address/0xebd8786cc2d92eb5cbe96299d2d9e6e4dc936fe4#analytics,1115,days,1215,days,0,0.00,2.3474910864500624,814.13
0xbf168a9b110379fc8e5daa42e334a97159232e37,https://etherscan.io/address/0xbf168a9b110379fc8e5daa42e334a97159232e37#analytics,97,days,1296,days,0,5250.60,32.10551382232939,105547
0xfa31a00a87c766579f0790be73c3763b3e952e94,https://etherscan.io/address/0xfa31a00a87c766579f0790be73c3763b3e952e94#analytics,1069,days,1232,days,0,1229719.92,2.0315421254991457,644.95
0x6a8eeee36ceb102acc06e850b01d168ba7acad7a,https://etherscan.io/address/0x6a8eeee36ceb102acc06e850b01d168ba7acad7a#analytics,5,days,2133,days,0,10427313.25,9.699804561037467,24126.82
0xed933b393bcd6f138b3843f5bcd50e3ab6e673f8,https://etherscan.io/address/0xed933b393bcd6f138b3843f5bcd50e3ab6e673f8#analytics,1,day,2165,days,21,92397.79,80.01573413446478,134306.85
0x64d33dd8cf24c3569252a27c1b782e15b77af628,https://etherscan.io/address/0x64d33dd8cf24c3569252a27c1b782e15b77af628#analytics,250,days,1251,days,0,38.52,9.943044359646375,6969.78
0xdfa1d82cad63732a6fd76f13315206c21e2e3a21,https://etherscan.io/address/0xdfa1d82cad63732a6fd76f13315206c21e2e3a21#analytics,2,days,2233,days,0,109.62,25.06899939411068,21082.53
0x5b85988f0032ee818f911ec969dd9c649caa0a14,https://etherscan.io/address/0x5b85988f0032ee818f911ec969dd9c649caa0a14#analytics,1,day,2342,days,3,35388.73,401.19184372717586,141957.72
0x1502a39844a21d91904c8343c7bbc8213b111ad3,https://etherscan.io/address/0x1502a39844a21d91904c8343c7bbc8213b111ad3#analytics,198,days,1282,days,0,988.97,53.37358604135424,21860.22
0xdec00a8df45f9cf321636340921d3d9c91d23723,https://etherscan.io/address/0xdec00a8df45f9cf321636340921d3d9c91d23723#analytics,3,days,2178,days,1,42426.99,106.14902887548547,342206.83
0x05919a6edee137de23556180278e2e586453f7b2,https://etherscan.io/address/0x05919a6edee137de23556180278e2e586453f7b2#analytics,40,days,1268,days,0,148088874.84,28.089722780518958,12317.62
0x42d455b219214fda88af47786cc6e3b5f9a19c37,https://etherscan.io/address/0x42d455b219214fda88af47786cc6e3b5f9a19c37#analytics,6,days,2131,days,0,642.92,110.62838819403993,45139.7
0xf0cf5096d47ace96d3020f0695a991240f5dfd6c,https://etherscan.io/address/0xf0cf5096d47ace96d3020f0695a991240f5dfd6c#analytics,230,days,1606,days,0,125.71,36.448180936031775,13774.12
0xeb5e8925925042da3afd0e8062146db0b2d394a3,https://etherscan.io/address/0xeb5e8925925042da3afd0e8062146db0b2d394a3#analytics,21,days,3016,days,0,6.90,19.233681559404317,53391.93
0xdcf753715a75407d3931a131ef7948f65c051dd7,https://etherscan.io/address/0xdcf753715a75407d3931a131ef7948f65c051dd7#analytics,252,days,2359,days,0,37.65,37.706896379754205,6480.5
0x1a36d7bac3ca3424fe2a2672bc9b35cd7f40e7e6,https://etherscan.io/address/0x1a36d7bac3ca3424fe2a2672bc9b35cd7f40e7e6#analytics,148,days,2252,days,0,102.05,246.81024255437634,178594.36
0x2c0b174c7cbf66c67e32e81591fc63a4406c5713,https://etherscan.io/address/0x2c0b174c7cbf66c67e32e81591fc63a4406c5713#analytics,896,days,1224,days,0,635.42,4.421585882315778,1722.16
0xe4b2459590f8afd8bc09a024e444eb47fac44893,https://etherscan.io/address/0xe4b2459590f8afd8bc09a024e444eb47fac44893#analytics,43,days,1267,days,0,9.80,56.16846505751776,22430.92
0x5c00247a3342c725faf7ae8b9275701a023bb52d,https://etherscan.io/address/0x5c00247a3342c725faf7ae8b9275701a023bb52d#analytics,1166,days,1214,days,0,0.00,16.628046444419365,6481.45
0x05227e4fa98a6415ef1927e902dc781aa7ed518a,https://etherscan.io/address/0x05227e4fa98a6415ef1927e902dc781aa7ed518a#analytics,3,days,2080,days,0,64.36,528.6059889277233,459191.39
0xd3fd32e76a1ca37ec408aac47776b10fc099f841,https://etherscan.io/address/0xd3fd32e76a1ca37ec408aac47776b10fc099f841#analytics,2,days,1623,days,20,70998.23,39.543521134109426,170949.89
0xb199ea67d5352674bb3a432b5e669b8cae21ffc8,https://etherscan.io/address/0xb199ea67d5352674bb3a432b5e669b8cae21ffc8#analytics,1,day,1218,days,0,3170561.95,201.42895168137179,119211.3
0x29c4cc30028aa9e9e799576c6bd7147a0e7cab69,https://etherscan.io/address/0x29c4cc30028aa9e9e799576c6bd7147a0e7cab69#analytics,368,days,1314,days,0,11.96,38.05736174269582,150190.33
0xb199ea67d5352674bb3a432b5e669b8cae21ffc8,https://etherscan.io/address/0xb199ea67d5352674bb3a432b5e669b8cae21ffc8#analytics,1,day,1218,days,0,3170561.95,201.42895168137179,119211.3
0x4356ddb30910c1f9b3aa1e6a60111ce9802b6df9,https://etherscan.io/address/0x4356ddb30910c1f9b3aa1e6a60111ce9802b6df9#analytics,110,days,1627,days,0,2.27,18.018070503355997,22591.05
0xe4fd210236d8ba17663997097b832e8e0d262cee,https://etherscan.io/address/0xe4fd210236d8ba17663997097b832e8e0d262cee#analytics,7,days,1233,days,0,46895.08,103.82737087980506,206734.86
0x1d118eca15425f644d7aee03f5de7261a7bbb5d6,https://etherscan.io/address/0x1d118eca15425f644d7aee03f5de7261a7bbb5d6#analytics,9,hrs,2075,days,0,3133.78,32.09547848803796,29837.45
0x4530b100bf6400268e22fe64d7548ffaafa8dc39,https://etherscan.io/address/0x4530b100bf6400268e22fe64d7548ffaafa8dc39#analytics,159,days,2149,days,0,29814.68,235.56742835458056,103609.62
0x5d4f95ceb7a6d57e742f7018ada8ac7705f7a9ea,https://etherscan.io/address/0x5d4f95ceb7a6d57e742f7018ada8ac7705f7a9ea#analytics,13,hrs,1259,days,0,0.45,51.18152299840386,50947.45
0x356073e60e1f54f1c5ef5d377eff3355db45b921,https://etherscan.io/address/0x356073e60e1f54f1c5ef5d377eff3355db45b921#analytics,1031,days,1267,days,0,53.04,3.0637990769406764,1343.51
0x72fc1866c9cf17e216095b5b4912a79ec1a575c7,https://etherscan.io/address/0x72fc1866c9cf17e216095b5b4912a79ec1a575c7#analytics,22,days,1416,days,0,441.91,29.69767817862851,72192.38
0x33152b0176dd5b08b523838fe5719e78cfd5b63d,https://etherscan.io/address/0x33152b0176dd5b08b523838fe5719e78cfd5b63d#analytics,21,days,1677,days,0,665.64,21.369845376311396,51948.17
0xb74d5f0a81ce99ac1857133e489bc2b4954935ff,https://etherscan.io/address/0xb74d5f0a81ce99ac1857133e489bc2b4954935ff#analytics,9,days,2013,days,0,945.87,399.01427259148073,1325808.71
0x6984379c15a9c73b9ab0c979973a69b1be7c32b5,https://etherscan.io/address/0x6984379c15a9c73b9ab0c979973a69b1be7c32b5#analytics,496,days,1304,days,0,8.64,6.938447506430202,5511.99
0xa51b7312c91ed9363041f07e241c37373954e85c,https://etherscan.io/address/0xa51b7312c91ed9363041f07e241c37373954e85c#analytics,260,days,1246,days,0,42.39,42.87447646689566,96193.18
0x28265b4188ff587e5cfe1155606026cd2ccd243d,https://etherscan.io/address/0x28265b4188ff587e5cfe1155606026cd2ccd243d#analytics,5,days,1394,days,1,9704.73,13.36571653213831,41041.78
0x13170030a9d193e65d9544d6269661ac416ea7e3,https://etherscan.io/address/0x13170030a9d193e65d9544d6269661ac416ea7e3#analytics,111,days,1301,days,0,407840600.97,136.58895756193002,50337.13
0xef572fbbdb552a00bdc2a3e3bc9306df9e9e169d,https://etherscan.io/address/0xef572fbbdb552a00bdc2a3e3bc9306df9e9e169d#analytics,100,days,1261,days,0,0.26,14.82299990699582,9809.01
0x793f6c86da7109f83fbb9cd6592cfa9e89a95616,https://etherscan.io/address/0x793f6c86da7109f83fbb9cd6592cfa9e89a95616#analytics,12,hrs,1264,days,0,88287.44,77.87361964704873,116246.56
