coin,numHolders,link,sum
SHIBA INU (SHIB),1030,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,11545931889.970009
ChainLink To... (LINK),642,0x514910771af9ca656af840dff83e8264ecf986ca,184136045.80000007
Wrapped BTC (WBTC),137,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,3636154.820000002
Gala (GALA),356,0xd1d2eb1b1e90b638588728b4130137d262c87cae,8126539.189999992
Synthetix Ne... (SNX),348,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,77655529.76000006
Blur (BLUR),2551,0x5283d291dbcf85356a21ba090e6db59121208b44,20352656879.62999
Quant (QNT),481,0x4a220e6096b25eadb88358cb44068a3248254675,951906953.0999994
Lido DAO Tok... (LDO),298,0x5a98fcbea516cf06857215779fd812ca3bef1b32,42694388.769999996
LoopringCoin... (LRC),644,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,483878476.20000005
Fetch (FET),1830,0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,12831019810.060007
Request (REQ),100,0x8f8221afbb33998d8584a2b05749ba73c37a938a,4192011.3300000015
Yield Guild ... (YGG),54,0x25f8087ead173b73d6e8b84329989a8eea16cf73,399090.50999999995
Kyber Networ... (KNC),150,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,1565025.6500000008
EnjinCoin (ENJ),1618,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,2498838493.299992
Republic (REN),352,0x408e41876cccdc0f92210600ef50372656052a38,197706269.8900001
CarryToken (CRE),1189,0x115ec79f1de567ec68b7ae7eda501b406626478e,1451479.7899999944
# getSHIB.io (Visit ...),38,0x361feF9C027d311d181AAF55d13bf9Da396C1dA2,0.0
# LiquidEthe... (Visit ...),22,0xb988eb23FB9a087171400D3442d65Ee16bF82C32,0.0
# quantproto... (Visit ...),87,0xDDc30195BF00BC0FcB56773b9597A700dac0Bf60,0.0
# usdrewards... (Visit ...),27,0x16D6FB8a5c736feB50579106a39F6e14798A3D22,0.0
$ agdom.xyz (Reward...),138,0x8e265c491ece044494a8886bced507d13c2c048c,0.0
$ cnLink.eu (Claim ...),25,0x405f60e965084cc84f78c7441fad3e8f316de711,0.0
Aave Token (AAVE),30,0xcb3e05c74f3c120e86122a3236b4035185f2f633,0.0
abict.site (Claim ...),299,0x0a862844c2da70b09e2ef71ea5c3627602458db0,0.0
BigMouthFrog (BGBG),336,0x53fffb19bacd44b82e204d036d579e86097e5d09,0.0
BTCMEME (BTCMEM...),271,0x5441765d3ab74e0347df52ffab5a69e5146b5d26,0.0
ChainLink To... (LINK),30,0xccdac721d69f6c4db5b4162d1c0940bfd5127ac5,0.0
Curve DAO To... (CRV),32,0x974128fe5c4dca3b735d0601e0a540ac38be3017,0.0
oeth.app (Visit ...),57,0xa22bd6bfe0ba319226796fdcd9944125c3da2efa,0.0
SHIBA INU (SHIB),32,0x9d49ae91cadcf41443d5a5afb1b4d265aa1046d8,0.0
stETH Vouche... (Visit ...),151,0x9AADf40664800882e4172Fca238359301Cb85930,0.0
Uniswap (UNI),20,0x4b44a1f7b4217ffa74f737aac0066f89ac000f50,0.0
环球股 (HQG),391,0x57b9d10157f66d8c00a815b5e289a152dedbe7ed,0.0
ERC-20 TOKEN*,209,0xC15C43EF4171433fCEC5C5888Cf9f90bDac060Fc,0.0
ERC-20 TOKEN*,117,0x65281b6d0402095d66f531268b4662524040fdfc,0.0
ERC-20 TOKEN*,45,0x06c2B5CE6A1b38be02c80c4C65b350136C395007,0.0
ERC-20 TOKEN*,133,0x94f08bc4385482f6a1b20826656d7844e9fe76e8,0.0
ERC-20 TOKEN*,149,0x95146474d59798ac6d1550c9ef9471d09f430d21,0.0
ERC-20 TOKEN*,112,0x9b7469e83a09165ec0c42ed6220456afc1fa6a80,0.0
ERC-20 TOKEN*,180,0xfAFe8a7c0A9b3807CC1df0DEB0BA0B5a5fb7A872,0.0
ERC-20 TOKEN*,26,0xec28c8e164bf1a8aeed29743e351e67b88eebc68,0.0
ERC-20 TOKEN*,216,0x72a934bdc5d49869590fbafca0e6678fd41c64de,0.0
ERC-20 TOKEN*,32,0xb5a672b013216bebca54fa4ec5971072ad3b13fe,0.0
ERC-20 TOKEN*,61,0x126c9f453f67e3b3ab51a9f606e540f495e6238d,0.0
ERC-20 TOKEN*,34,0x0c288a0584160c8dffda18999432f480ad81f548,0.0
ERC-20 TOKEN*,200,0x4a7bcd91179725f6109f400bdd1c90f3c76edff1,0.0
Tether USD (USDT),820,0xdac17f958d2ee523a2206206994597c13d831ec7,409082821.1499999
# cusdt.pro (Visit ...),73,0xb49f94a3acf8ea3b5c3f6924b2f6496a278a56f8,0.0
ERC-20 TOKEN*,17,0x5751E0ec728ae2F3678A3D3bCdF60A4480A67C8c,0.0
Pepe (PEPE),2788,0x6982508145454ce325ddbe47a25d4ec3d2311933,22241060103.65003
USDC (USDC),636,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,132696561.79000005
Aragon Netwo... (ANT),2399,0xa117000000f279d81a1d3cc75430faa017fa5a2e,1721826325.1499975
MANTRA DAO (OM),64,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,2370893.2099999995
AltLayer Tok... (ALT),2189,0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB,20154630605.60991
Flux (FLUX),19,0x720cd16b011b987da3518fbf38c3071d4f0d1495,41128.64
TrueUSD (TUSD),188,0x0000000000085d4780B73119b644AE5ecd22b376,827629.8500000004
Compound (COMP),310,0xc00e94cb662c3520282e6f5717214004a7f26888,50581912.690000005
ARPA Token (ARPA),2118,0xba50933c268f567bdc86e1ac131be072c6b0b71a,3112677072.750004
1INCH Token (1INCH),272,0x111111111117dc0aa78b770fa6a738034120c302,72012488.76999998
TrueFi (TRU),33,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,977070.75
Ooki Token (OOKI),43,0x0de05f6447ab4d22c8827449ee4ba2d5c288379b,562371.3
API3 (API3),2430,0x0b38210ea11411557c13457D4dA7dC6ea731B88a,5599615186.890024
AdEx (ADX),1659,0xADE00C28244d5CE17D72E40330B1c318cD12B7c3,558679563.7400013
PowerLedger (POWR),185,0x595832f8fc6bf59c85c527fec3740a1b7a361269,18755694.240000002
Smooth Love ... (SLP),251,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,281572446.68000007
JasmyCoin (JASMY),150,0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC,2069869.0
